Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Stephen Curry\curryst01,27,GSW,131.0,1310.0,1310,1.000,79,34.2,30.1,5.4,6.7,2.1,0.2,.504,.454,.908,17.9,.318
2,Kawhi Leonard\leonaka01,24,SAS,0.0,634.0,1310,0.484,72,33.1,21.2,6.8,2.6,1.8,1.0,.506,.443,.874,13.7,.277
3,LeBron James\jamesle01,31,CLE,0.0,631.0,1310,0.482,76,35.6,25.3,7.4,6.8,1.4,0.6,.520,.309,.731,13.6,.242
4,Russell Westbrook\westbru01,27,OKC,0.0,486.0,1310,0.371,80,34.4,23.5,7.8,10.4,2.0,0.3,.454,.296,.812,14.0,.245
5,Kevin Durant\duranke01,27,OKC,0.0,147.0,1310,0.112,72,35.8,28.2,8.2,5.0,1.0,1.2,.505,.387,.898,14.5,.270
6,Chris Paul\paulch01,30,LAC,0.0,107.0,1310,0.082,74,32.7,19.5,4.2,10.0,2.1,0.2,.462,.371,.896,12.7,.253
7,Draymond Green\greendr01,25,GSW,0.0,50.0,1310,0.038,81,34.7,14.0,9.5,7.4,1.5,1.4,.490,.388,.696,11.1,.190
8,Damian Lillard\lillada01,25,POR,0.0,26.0,1310,0.020,75,35.7,25.1,4.0,6.8,0.9,0.4,.419,.375,.892,9.2,.165
9,James Harden\hardeja01,26,HOU,0.0,9.0,1310,0.007,82,38.1,29.0,6.1,7.5,1.7,0.6,.439,.359,.860,13.3,.204
10,Kyle Lowry\lowryky01,29,TOR,0.0,6.0,1310,0.005,77,37.0,21.2,4.7,6.4,2.1,0.4,.427,.388,.811,11.6,.196
