Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Julius Erving\ervinju01,30,PHI,28.0,454.0,690,0.658,82,35.0,24.6,8.0,4.4,2.1,1.8,.521,.222,.787,13.8,.231
2,Larry Bird\birdla01,24,BOS,20.0,423.0,690,0.613,82,39.5,21.2,10.9,5.5,2.0,0.8,.478,.270,.863,10.8,.160
3,Kareem Abdul-Jabbar\abdulka01,33,LAL,8.0,286.0,690,0.414,80,37.2,26.2,10.3,3.4,0.7,2.9,.574,.000,.766,14.3,.230
4,Moses Malone\malonmo01,25,HOU,8.0,180.0,690,0.261,80,40.6,27.8,14.8,1.8,1.0,1.9,.522,.333,.757,13.7,.202
5,George Gervin\gervige01,28,SAS,1.0,83.0,690,0.120,82,33.7,27.1,5.1,3.2,1.1,0.7,.492,.257,.826,10.5,.182
6,Marques Johnson\johnsma01,24,MIL,1.0,73.0,690,0.106,76,33.4,20.3,6.8,4.6,1.5,0.5,.552,.000,.706,11.2,.211
7,Robert Parish\parisro01,27,BOS,0.0,53.0,690,0.077,82,28.0,18.9,9.5,1.8,1.0,2.6,.545,.000,.710,10.9,.228
8,Dennis Johnson\johnsde01,26,PHO,0.0,50.0,690,0.072,79,33.1,18.8,4.6,3.7,1.7,0.8,.436,.216,.820,8.4,.154
9,Tiny Archibald\architi01,32,BOS,0.0,32.0,690,0.046,80,35.3,13.8,2.2,7.7,0.9,0.2,.499,.000,.816,6.9,.118
10,Jamaal Wilkes\wilkeja01,27,LAL,0.0,19.0,690,0.028,81,37.4,22.6,5.4,2.9,1.5,0.4,.526,.077,.758,8.5,.135
11,Magic Johnson\johnsma02,21,LAL,0.0,18.0,690,0.026,37,37.1,21.6,8.6,8.6,3.4,0.7,.532,.176,.760,6.4,.225
12T,Adrian Dantley\dantlad01,24,UTA,1.0,15.0,690,0.022,80,42.7,30.7,6.4,4.0,1.4,0.2,.559,.286,.806,13.6,.191
12T,Phil Ford\fordph01,24,KCK,1.0,15.0,690,0.022,66,34.7,17.5,1.9,8.8,1.5,0.1,.478,.306,.831,5.2,.110
14,Bernard King\kingbe01,24,GSW,0.0,12.0,690,0.017,81,36.0,21.9,6.8,3.5,0.9,0.4,.588,.333,.703,9.1,.150
15T,Kelvin Ransey\ranseke01,22,POR,1.0,11.0,690,0.016,80,30.4,15.2,2.4,6.9,1.1,0.1,.452,.097,.749,2.8,.056
15T,Jack Sikma\sikmaja01,25,SEA,0.0,11.0,690,0.016,82,35.6,18.7,10.4,3.0,1.0,1.1,.454,.000,.823,8.0,.132
17T,Otis Birdsong\birdsot01,25,KCK,0.0,7.0,690,0.010,71,36.5,24.6,3.6,3.3,1.3,0.3,.544,.286,.697,8.2,.152
17T,Micheal Ray Richardson\richami01,25,NYK,0.0,7.0,690,0.010,79,40.2,16.4,6.9,7.9,2.9,0.4,.469,.225,.663,6.9,.104
19T,Truck Robinson\robintr01,29,PHO,0.0,6.0,690,0.009,82,37.7,18.8,9.6,2.5,0.8,0.5,.505,,.629,7.6,.119
19T,Reggie Theus\theusre01,23,CHI,0.0,6.0,690,0.009,82,34.4,18.9,3.5,5.2,1.5,0.2,.495,.200,.809,9.2,.156
21,Norm Nixon\nixonno01,25,LAL,0.0,5.0,690,0.007,79,37.5,17.1,2.9,8.8,1.8,0.1,.476,.167,.778,5.5,.089
22T,Artis Gilmore\gilmoar01,31,CHI,0.0,4.0,690,0.006,82,34.5,17.9,10.1,2.1,0.6,2.4,.670,,.705,12.3,.208
22T,Bob Lanier\laniebo01,32,MIL,0.0,4.0,690,0.006,67,26.2,14.3,6.2,2.7,1.1,1.2,.525,1.000,.751,6.8,.185
24T,Michael Cooper\coopemi01,24,LAL,0.0,3.0,690,0.004,81,32.4,9.4,4.1,4.1,1.6,1.0,.491,.211,.785,5.0,.092
24T,Walter Davis\daviswa03,26,PHO,0.0,3.0,690,0.004,78,28.0,18.0,2.6,3.9,1.2,0.2,.539,.412,.836,7.1,.157
24T,George Johnson\johnsge02,32,SAS,0.0,3.0,690,0.004,82,23.6,5.0,7.3,1.1,0.6,3.4,.473,,.734,4.5,.112
24T,Bobby Jones\jonesbo01,29,PHI,0.0,3.0,690,0.004,81,25.3,13.5,5.4,2.8,1.2,0.9,.539,.000,.813,9.2,.217
24T,Mike Mitchell\mitchmi01,25,CLE,0.0,3.0,690,0.004,82,39.0,24.5,6.1,1.7,0.8,0.6,.476,.444,.784,6.0,.091
24T,James Silas\silasja01,31,SAS,0.0,3.0,690,0.004,75,27.4,17.7,3.1,3.8,0.7,0.2,.477,.000,.850,7.0,.164
30T,Quinn Buckner\bucknqu01,26,MIL,0.0,1.0,690,0.001,82,29.1,13.3,3.6,4.7,2.4,0.0,.493,.167,.734,5.4,.108
30T,Caldwell Jones\jonesca01,30,PHI,0.0,1.0,690,0.001,81,32.6,7.2,10.0,1.5,0.7,1.7,.449,,.767,5.5,.100
