Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1,Larry Bird\birdla01,29,BOS,73.0,765.0,780,0.981,82,38.0,25.8,9.8,6.8,2.0,0.6,.496,.423,.896,15.8,.244
2,Dominique Wilkins\wilkido01,26,ATL,5.0,407.0,780,0.522,78,39.1,30.3,7.9,2.6,1.8,0.6,.468,.186,.818,10.8,.170
3,Magic Johnson\johnsma02,26,LAL,0.0,205.0,780,0.263,72,35.8,18.8,5.9,12.6,1.6,0.2,.526,.233,.871,12.1,.226
4,Hakeem Olajuwon\olajuha01,23,HOU,0.0,193.0,780,0.247,68,36.3,23.5,11.5,2.0,2.0,3.4,.526,,.645,9.5,.186
5,Kareem Abdul-Jabbar\abdulka01,38,LAL,0.0,135.0,780,0.173,79,33.3,23.4,6.1,3.5,0.8,1.6,.564,.000,.765,10.8,.197
6,Charles Barkley\barklch01,22,PHI,0.0,133.0,780,0.171,80,36.9,20.0,12.8,3.9,2.2,1.6,.572,.227,.685,10.8,.176
7,Sidney Moncrief\moncrsi01,28,MIL,0.0,56.0,780,0.072,73,35.2,20.2,4.6,4.9,1.4,0.2,.489,.320,.859,11.7,.219
8,Alex English\englial01,32,DEN,0.0,55.0,780,0.071,81,37.3,29.8,5.0,4.0,0.9,0.4,.504,.200,.862,9.8,.156
9,Isiah Thomas\thomais01,24,DET,0.0,28.0,780,0.036,77,36.2,20.9,3.6,10.8,2.2,0.3,.488,.310,.790,8.8,.151
10,Moses Malone\malonmo01,30,PHI,0.0,21.0,780,0.027,74,36.6,23.8,11.8,1.2,0.9,1.0,.458,.000,.787,8.9,.157
11,Terry Cummings\cummite01,24,MIL,0.0,9.0,780,0.012,82,32.5,19.8,8.5,2.4,1.5,0.6,.474,.000,.656,7.4,.133
12,James Worthy\worthja01,24,LAL,0.0,7.0,780,0.009,75,32.7,20.0,5.2,2.7,1.1,1.0,.579,.000,.771,9.5,.185
13T,Kevin McHale\mchalke01,28,BOS,0.0,3.0,780,0.004,68,35.3,21.3,8.1,2.7,0.4,2.0,.574,,.776,11.0,.220
13T,Paul Pressey\presspa01,27,MIL,0.0,3.0,780,0.004,80,33.8,14.3,5.0,7.8,2.1,0.9,.488,.182,.806,9.8,.174
13T,Alvin Robertson\roberal01,23,SAS,0.0,3.0,780,0.004,82,35.1,17.0,6.3,5.5,3.7,0.5,.514,.276,.795,8.6,.143
16T,Adrian Dantley\dantlad01,29,UTA,0.0,2.0,780,0.003,76,36.1,29.8,5.2,3.5,0.8,0.1,.563,.091,.791,12.8,.223
16T,Buck Williams\willibu01,25,NJN,0.0,2.0,780,0.003,82,37.4,15.9,12.0,1.6,0.9,1.2,.523,.000,.676,6.8,.106
18,Dennis Johnson\johnsde01,31,BOS,0.0,1.0,780,0.001,78,35.0,15.6,3.4,5.8,1.4,0.4,.455,.143,.818,6.7,.118
